"APPOINTED DATES & SESSIONS","DATE","TYPE","SITTINGS CONTENT","RESOLUTION/RESULT"
"第８屆第３會期第２次臨時會","102/08/06","院會","「內政部入出國及移民署組織法」名稱修正為「內政部移民署組織法」","完成三讀"
"第８屆第３會期第２次臨時會","102/08/01","內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境八委員會聯席會","「海峽兩岸服務貿易協議」公聽會（第三場）",""
"第８屆第３會期第２次臨時會","102/08/01","外交及國防、司法及法制、內政三委員會聯席會","邀請國防部部長、法務部部長、內政部部長率同有關人員列席專案報告「軍中人權保障及陸軍下士洪仲丘案」，並備質詢。","報告及詢答完畢"
"第８屆第３會期第２次臨時會","102/08/01","內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境八委員會聯席會","「海峽兩岸服務貿易協議」公聽會（第四場）",""
"第８屆第３會期第２次臨時會","102/08/01","司法及法制、外交及國防兩委員會聯席會","併案審查(一)本院國民黨黨團擬具「軍事審判法第一條及第三十四條條文修正草案」、(二)本院民進黨黨團擬具「軍事審判法第一條、第三十四條及第二百三十七條條文修正草案」及(三)委員林佳龍等29人擬具「軍事審判法第一條及第二百三十七條條文修正草案」案。","審查完竣"
"第８屆第３會期第２次臨時會","102/07/31","內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境八委員會聯席會","「海峽兩岸服務貿易協議」公聽會（第二場）",""
"第８屆第３會期第２次臨時會","102/07/31","內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境八委員會聯席會","「海峽兩岸服務貿易協議」公聽會（第一場）",""
"第８屆第３會期第２次臨時會","102/07/31","司法及法制、外交及國防兩委員會聯席會","併案審查(一)本院國民黨黨團擬具「軍事審判法第一條及第三十四條條文修正草案」、(二)本院民進黨黨團擬具「軍事審判法第一條、第三十四條及第二百三十七條條文修正草案」及(三)委員林佳龍等29人擬具「軍事審判法第一條及第二百三十七條條文修正草案」案。","8月1日繼續審查"
"第８屆第３會期第２次臨時會","102/07/30","院會","本院國民黨黨團，建請第3會期第2次臨時會邀請國防部部長針對「軍中人權保障及陸軍下士洪仲丘案」向外交及國防委員會報告，並備質詢。是否有當？請公決案。","修正通過"
"第８屆第３會期第２次臨時會","102/07/30","院會","本院財政委員會報告審查「中華民國102年度中央政府總預算案（含附屬單位預算及綜計表－營業及非營業部分）」案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/27","院會","修正教師法第十四條條文","完成三讀"
"第８屆第３會期第１次臨時會","102/06/27","院會","公共債務法","完成三讀"
"第８屆第３會期第１次臨時會","102/06/27","院會","修正專科學校法第二十五條、第二十六條、第三十五條及第四十條條文","完成三讀"
"第８屆第３會期第１次臨時會","102/06/27","院會","高級中等教育法","完成三讀"
"第８屆第３會期第１次臨時會","102/06/25","院會","中華民國102年度中央政府總預算案（含附屬單位預算及綜計表─營業及非營業部分）案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/25","院會","教師法第十四條條文修正草案","交黨團協商"
"第８屆第３會期第１次臨時會","102/06/25","院會","公共債務法修正草案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/25","院會","修正所得稅法第十四條之二、第八十八條及第八十九條條文","完成三讀"
"第８屆第３會期第１次臨時會","102/06/20","教育及文化委員會","審查行政院函請審議「教師法第十四條條文修正草案」案","審查完竣"
"第８屆第３會期第１次臨時會","102/06/19","黨團協商會議","國民黨黨團召集協商行政院函請審議「漁業法增訂第三十九條之一及第六十四條之二條文草案」、委員陳超明等18人擬具「漁業法第四十四條條文修正草案」、委員林岱樺等22人擬具「漁業法第十條及第六十五條條文修正草案」、委員李應元等29人擬具「漁業法第六十條條文修正草案」及委員許忠信等18人擬具「漁業法部分條文修正草案」 。","協商完畢"
"第８屆第３會期第１次臨時會","102/06/19","司法及法制、教育及文化委員會聯席會","繼續併案審查(一)行政院函請審議「公立學校教職員退休撫卹條例草案」、(二)委員陳亭妃等23人擬具「學校教職員退休條例第十八條條文修正草案」、(三)委員陳淑慧等19人擬具「學校教職員退休條例第八條條文修正草案」、(四)委員黃昭順等21人擬具「學校教職員退休條例第三條條文修正草案」、(五)委員許智傑等19人擬具「學校教職員退休條例修正草案」、(六)委員黃文玲等21人擬具「學校教職員退休條例第三條條文修正草案」、(七)委員管碧玲等25人擬具「學校教職員退休條例增訂第七條之一條文草案」、(八)本院親民黨黨團擬具「學校教職員退休條例第八條條文修正草案」、(九)委員許智傑等20人擬具「學校教職員退休條例第十三條條文修正草案」、(十)委員陳其邁等19人擬具「學校教職員退休條例第十四條之一條文修正草案」、(十一)委員李俊俋等18人擬具「學校教職員退休條例第十三條條文修正草案」、(十二)委員邱志偉等17人擬具「學校教職員退休條例第十三條條文修正草案」、(十三)委員李應元等17人擬具「學校教職員退休條例部分條文修正草案」、(十四)委員陳亭妃等20人擬具「學校教職員退休條例第九條條文修正草案」及(十五)委員陳亭妃等20人擬具「學校教職員撫卹條例第十六條條文修正草案」案 。","審查完竣"
"第８屆第３會期第１次臨時會","102/06/19","內政委員會","「大陸地區處理兩岸人民往來事務機構在臺灣地區設立分支機構條例草案」公聽會",""
"第８屆第３會期第１次臨時會","102/06/18","院會","增訂公路法第六十條之一條文；修正第一條、第二條、第四條至第六條、第十一條、第十二條、第二十四條、第二十六條、第二十八條、第三十六條至第三十八條、第四十七條、第五十一條、第五十七條之一、第六十一條、第六十二條、第六十二條之一及第六十七條條文","完成三讀"
"第８屆第３會期第１次臨時會","102/06/18","院會","國軍退除役官兵輔導委員會組織法草案","完成三讀"
"第８屆第３會期第１次臨時會","102/06/18","院會","公共債務法修正草案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/18","院會","科技部組織法草案等案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/18","院會","榮民總醫院組織通則草案","完成三讀"
"第８屆第３會期第１次臨時會","102/06/18","院會","勞工安全衛生法名稱修正為職業安全衛生法","完成三讀"
"第８屆第３會期第１次臨時會","102/06/18","院會","中華民國102年度中央政府總預算案（含附屬單位預算及綜計表─營業及非營業部分）案","協商後處理"
"第８屆第３會期第１次臨時會","102/06/18","院會","所得稅法部分條文修正草案","交黨團協商"
"第８屆第３會期第１次臨時會","102/06/18","院會","濕地保育法草案","完成三讀"
